Date,Open,High,Low,Close,Volume,AdjClose
2007-12-31,57.690003,58.990003,57.100001,58.300001,578700,902.527368
2007-12-28,58.259998,58.800001,57.28,57.940003,424500,896.954338
2007-12-27,58.890003,59.290003,57.800001,58.009998,469900,898.037915
2007-12-26,59.98,60.040003,59.070002,59.520002,503100,921.413894
2007-12-24,58.600001,60.000001,58.340003,59.98,453800,928.534999
2007-12-21,57.440003,58.440003,57.08,58.33,1127000,902.991771
2007-12-20,57.150001,57.750001,55.98,56.740003,778700,878.377445
2007-12-19,56.659998,58.509998,56.600001,56.890003,1191300,880.699557
2007-12-18,55.900001,56.820002,54.640003,56.700001,942400,877.758178
2007-12-17,55.700001,56.820002,54.850001,55.009998,891300,851.595683
2007-12-14,56.320002,57.040003,55.200001,55.650001,1058400,861.503397
2007-12-13,57.209998,57.570002,55.720002,57.050001,935700,883.176438
2007-12-12,60.83,61.220002,56.820002,58.209998,1215000,901.134063
2007-12-11,61.48,62.240003,58.800001,59.250001,1088100,917.234075
2007-12-10,61.770002,62.070002,60.770002,61.509998,666500,952.220518
2007-12-07,61.400001,62.300001,61.18,61.450001,792900,951.291711
2007-12-06,58.220002,61.68,57.770002,61.350001,1166200,949.743637
2007-12-05,57.48,59.390003,57.309998,58.150001,1542200,900.205256
2007-12-04,56.109998,56.600001,55.050001,55.650001,630200,858.407244
2007-12-03,57.700001,57.900001,55.890003,56.900001,878200,877.688629
2007-11-30,58.88,59.870002,57.520002,58.13,982800,896.661492
2007-11-29,57.820002,57.920002,55.700001,57.33,906100,884.321406
2007-11-28,55.109998,57.890003,54.909998,57.720002,1214600,890.337236
2007-11-27,53.000001,54.920002,53.000001,54.490003,1044100,840.514157
2007-11-26,53.420002,53.600001,52.150001,52.559998,1200800,810.743624
2007-11-23,52.000001,53.590003,51.370002,53.03,628800,817.993443
2007-11-21,53.370002,53.870002,50.860001,51.33,1844800,791.77076
2007-11-20,55.63,55.63,53.059998,54.440003,1272100,839.742901
2007-11-19,55.859998,56.000001,54.570002,55.350001,1056900,853.779712
2007-11-16,57.070002,57.220002,55.78,56.440003,1137300,870.593117
2007-11-15,59.070002,59.070002,56.020002,56.950001,1112300,878.459884
2007-11-14,60.000001,60.190003,58.300001,59.43,1014300,916.714132
2007-11-13,57.359998,59.620002,56.909998,59.18,915400,912.857855
2007-11-12,56.53,58.350001,56.300001,56.78,802800,875.837597
2007-11-09,55.270002,58.900001,55.040003,57.059998,1581700,880.156608
2007-11-08,56.050001,58.709998,53.990003,56.000001,2073100,863.806032
2007-11-07,60.48,61.359998,57.300001,57.900001,1457800,893.113736
2007-11-06,59.58,62.270002,59.58,62.050001,927000,957.127933
2007-11-05,58.850001,61.190003,58.209998,59.53,1331800,918.256643
2007-11-02,59.340003,59.400001,56.370002,59.120002,1884900,911.932387
2007-11-01,62.020002,62.020002,59.190003,59.290003,1393600,914.554674
2007-10-31,62.950001,63.640003,62.300001,63.120002,549700,973.632817
2007-10-30,63.100001,63.68,62.709998,62.809998,440500,968.850978
2007-10-29,62.159998,63.450001,62.150001,63.200001,674900,974.866807
2007-10-26,62.940003,63.459999,60.509998,62.150001,1134600,958.670444
2007-10-25,63.840003,64.190003,58.459998,61.790003,3216200,953.117443
2007-10-24,64.050001,64.250001,62.300001,63.840003,852300,984.738914
2007-10-23,64.140003,64.390003,63.450001,64.270002,601300,991.371691
2007-10-22,62.509998,63.93,62.509998,63.540003,684900,980.111381
2007-10-19,64.720002,65.059999,63.220002,63.270002,950700,975.946584
2007-10-18,65.550001,65.709999,64.700001,64.88,598900,1000.780969
2007-10-17,66.500001,66.640003,64.709999,65.800001,891100,1014.972087
2007-10-16,66.400001,66.48,65.850001,66.240003,569000,1021.759172
2007-10-15,68.070002,68.200001,66.409999,66.790003,657100,1030.242982
2007-10-12,68.13,68.259999,67.88,68.090003,577000,1050.295622
2007-10-11,68.759999,68.759999,67.850001,68.13,635500,1050.912569
2007-10-10,69.900001,69.909999,67.540003,68.53,720400,1057.082612
2007-10-09,69.450001,70.13,69.120002,70.109999,451600,1081.454264
2007-10-08,69.140003,69.650001,69.000001,69.370002,284000,1070.039741
2007-10-05,69.270002,69.83,69.009999,69.390003,548700,1070.348262
2007-10-04,69.000001,69.250001,68.659999,68.920002,382900,1063.098442
2007-10-03,68.620002,69.190003,68.490003,68.909999,400000,1062.944135
2007-10-02,68.500001,69.000001,68.409999,68.950001,516000,1063.561177
2007-10-01,67.48,68.750001,67.290003,68.590003,566500,1058.008175
2007-09-28,67.28,67.890003,67.109999,67.650001,496100,1043.508537
2007-09-27,67.470002,67.650001,67.090003,67.470002,539700,1040.732036
2007-09-26,67.220002,67.790003,66.790003,67.53,778700,1041.657505
2007-09-25,66.750001,67.320002,66.309999,67.08,560300,1034.716206
2007-09-24,67.000001,67.050001,66.740003,66.759999,453600,1029.780153
2007-09-21,67.83,67.890003,66.740003,67.23,786000,1037.029972
2007-09-20,67.200001,67.840003,66.890003,67.140003,478300,1035.641769
2007-09-19,67.03,67.940003,66.909999,67.559999,671600,1042.120239
2007-09-18,65.240003,66.850001,65.150001,66.850001,866800,1031.16845
2007-09-17,64.600001,65.03,64.150001,64.970002,360000,1002.169267
2007-09-14,64.83,65.090003,64.48,64.959999,463100,1002.014959
2007-09-13,64.800001,65.450001,64.650001,65.100001,487100,1004.174512
2007-09-12,64.859999,65.220002,64.370002,64.690003,493200,997.850255
2007-09-11,64.440003,65.109999,64.150001,64.909999,485600,1001.243704
2007-09-10,63.970002,64.690003,63.240003,64.150001,496700,989.52066
2007-09-07,64.209999,64.53,63.440003,63.550001,681400,980.265595
2007-09-06,65.609999,65.73,64.640003,64.740003,474300,998.621511
2007-09-05,65.890003,66.009999,65.309999,65.500001,536600,1010.344555
2007-09-04,66.03,66.73,65.470002,66.559999,532700,1023.610091
2007-08-31,66.23,66.490003,65.500001,66.000001,437700,1014.998024
2007-08-30,65.550001,65.940003,64.850001,65.600001,352800,1008.846521
2007-08-29,65.500001,66.300001,64.990003,66.13,366600,1016.997244
2007-08-28,66.800001,66.900001,65.23,65.23,609100,1003.156362
2007-08-27,67.650001,67.720002,66.88,67.050001,317100,1031.14572
2007-08-24,66.800001,67.670002,66.690003,67.600001,624900,1039.604037
2007-08-23,67.000001,67.209999,66.350001,67.08,673400,1031.607064
2007-08-22,66.500001,67.18,66.209999,66.690003,869800,1025.609405
2007-08-21,65.840003,66.550001,65.500001,65.809999,529300,1012.076023
2007-08-20,66.23,66.500001,65.23,65.750001,537700,1011.153335
2007-08-17,65.509999,66.700001,64.840003,65.959999,1144600,1014.382836
2007-08-16,62.909998,64.340003,61.550001,63.950001,1112300,983.471571
2007-08-15,63.020002,64.309999,62.890003,63.220002,709300,972.245096
2007-08-14,65.08,65.13,63.109998,63.43,803200,975.474598
2007-08-13,65.170002,66.000001,64.650001,64.78,731800,996.235921
2007-08-10,63.390003,66.150001,63.270002,64.670002,947300,994.544295
2007-08-09,63.509999,67.640003,62.659998,64.300001,1292200,988.854136
2007-08-08,65.850001,66.959999,65.23,66.48,872300,1022.379809
2007-08-07,64.000001,66.600001,63.73,65.550001,1107500,1008.077583
2007-08-06,61.820002,64.559999,61.270002,64.559999,1269000,992.852575
2007-08-03,64.120002,64.120002,61.590003,61.640003,1497500,947.946677
2007-08-02,64.720002,65.370002,63.350001,63.809999,938800,981.318507
2007-08-01,63.709999,64.590003,60.000001,64.570002,1937900,993.006419
2007-07-31,65.700001,66.000001,64.100001,64.18,967800,987.008666
2007-07-30,65.209999,65.609999,64.420002,65.209999,965400,1002.848768
2007-07-27,66.190003,66.900001,64.920002,65.359999,1156100,1005.155582
2007-07-26,67.100001,67.950001,66.159999,66.620002,1420900,1024.532873
2007-07-25,68.000001,69.170002,67.500001,68.159999,939700,1048.216104
2007-07-24,68.150001,68.800001,67.650001,67.709999,1082300,1041.295663
2007-07-23,69.140003,69.440003,68.600001,68.850001,700700,1058.827484
2007-07-20,69.359999,70.000001,68.88,69.040003,839400,1061.749486
2007-07-19,69.700001,69.900001,69.500001,69.659999,657100,1071.284241
2007-07-18,69.370002,69.770002,68.900001,69.500001,899700,1068.823677
2007-07-17,69.720002,69.950001,69.43,69.659999,545100,1071.284241
2007-07-16,69.550001,70.13,69.350001,69.790003,467000,1073.283554
2007-07-13,69.58,69.800001,69.320002,69.550001,584800,1069.592615
2007-07-12,68.820002,69.420002,68.509999,69.309999,741100,1065.901676
2007-07-11,68.640003,68.959999,68.150001,68.640003,779900,1055.597983
2007-07-10,70.040003,70.040003,68.900001,68.93,795000,1060.057766
2007-07-09,70.18,70.590003,70.050001,70.23,407600,1080.050152
2007-07-06,70.170002,70.290003,69.800001,70.08,403000,1077.743338
2007-07-05,70.050001,70.400001,69.870002,70.270002,427500,1080.66534
2007-07-03,70.28,70.690003,70.209999,70.440003,252100,1083.279747
2007-07-02,70.43,70.43,69.870002,70.200001,453800,1079.588808
2007-06-29,70.900001,70.900001,69.570002,70.03,630300,1076.9744
2007-06-28,70.700001,70.970002,70.100001,70.450001,448900,1083.433497
2007-06-27,70.500001,70.700001,69.920002,70.600001,718900,1085.740311
2007-06-26,71.23,71.43,70.490003,70.940003,527600,1090.969126
2007-06-25,71.259999,71.700001,70.68,71.109999,703000,1093.58344
2007-06-22,72.100001,72.300001,71.200001,71.250001,625500,1095.736504
2007-06-21,71.950001,72.070002,71.23,72.050001,559300,1108.03951
2007-06-20,72.700001,72.750001,71.909999,72.020002,525200,1107.578166
2007-06-19,72.270002,72.700001,72.200001,72.609999,462900,1116.651577
2007-06-18,72.540004,72.909999,72.350001,72.500001,329000,1114.959951
2007-06-15,72.43,72.759999,72.400001,72.540004,570600,1115.575139
2007-06-14,72.250001,72.600001,72.009999,72.340004,484900,1112.499387
2007-06-13,71.88,72.509999,71.370002,72.509999,534400,1115.113701
2007-06-12,71.650001,72.440004,71.509999,71.540004,676700,1100.196381
2007-06-11,71.290004,72.03,71.150001,71.650001,357700,1101.888007
2007-06-08,71.38,71.670002,70.909999,71.53,552200,1100.042537
2007-06-07,72.059999,72.48,71.350001,71.38,674500,1097.735723
2007-06-06,72.250001,72.33,72.000001,72.170002,445300,1109.88498
2007-06-05,72.150001,72.83,72.120002,72.320002,448600,1112.191793
2007-06-04,72.520002,72.720002,72.490004,72.550001,414300,1115.728889
2007-06-01,72.700001,72.959999,72.359999,72.650001,519000,1117.266765
2007-05-31,72.009999,72.53,71.920002,72.340004,493300,1112.499387
2007-05-30,71.720002,72.340004,71.38,72.090004,497300,1108.654698
2007-05-29,72.270002,72.350001,71.600001,71.890004,436300,1103.041468
2007-05-25,71.970002,72.000001,71.58,71.950001,386700,1103.962038
2007-05-24,71.900001,72.170002,71.300001,71.540004,618800,1097.671256
2007-05-23,72.070002,72.359999,71.870002,71.909999,507500,1103.348262
2007-05-22,72.08,72.250001,71.820002,71.940004,418700,1103.808641
2007-05-21,72.100001,72.200001,71.800001,71.990004,425100,1104.575814
2007-05-18,72.340004,72.450001,72.000001,72.220002,448100,1108.104791
2007-05-17,72.459999,72.459999,72.170002,72.200001,442600,1107.797903
2007-05-16,72.100001,72.509999,71.470002,72.459999,651100,1111.787166
2007-05-15,72.609999,72.800001,71.909999,72.070002,567500,1105.803272
2007-05-14,72.550001,72.750001,72.100001,72.470002,460400,1111.940657
2007-05-11,72.650001,72.970002,71.800001,72.58,1086000,1113.6284
2007-05-10,72.000001,72.200001,71.470002,72.200001,519400,1107.797903
2007-05-09,72.000001,72.400001,71.500001,72.000001,598100,1104.729211
2007-05-08,71.23,71.870002,71.109999,71.750001,341600,1100.893346
2007-05-07,71.050001,71.990004,71.009999,71.600001,579600,1098.591827
2007-05-04,70.800001,71.13,70.53,70.850001,427900,1087.084231
2007-05-03,70.48,70.83,70.220002,70.650001,526900,1084.015538
2007-05-02,69.200001,70.690003,69.159999,70.420002,494000,1080.486561
2007-05-01,70.000001,70.240003,69.659999,70.03,368200,1074.502574
2007-04-30,70.920002,70.920002,69.640003,69.909999,471200,1072.66134
2007-04-27,69.750001,70.43,69.359999,70.140003,498400,1076.190411
2007-04-26,69.750001,70.059999,69.48,69.790003,521700,1070.820199
2007-04-25,69.850001,70.000001,69.600001,69.98,563700,1073.735401
2007-04-24,69.550001,69.600001,69.009999,69.420002,440800,1065.1431
2007-04-23,69.400001,69.759999,69.140003,69.550001,442100,1067.137731
2007-04-20,69.300001,69.720002,69.059999,69.53,616900,1066.830843
2007-04-19,68.340003,69.059999,68.059999,68.959999,517600,1058.085051
